filename,title,album,artist,genre,tracknumber,comment
001 AlFatiha.mp3,001 AlFatiha,Tilawah-Farres Abbad,Farres Abbad,Tilawah,1,AlFatiha recitation by Farres Abbad
002 AlBaqara.mp3,002 AlBaqara,Tilawah-Farres Abbad,Farres Abbad,Tilawah,2,AlBaqara recitation by Farres Abbad
003 AalEImran.mp3,003 AalEImran,Tilawah-Farres Abbad,Farres Abbad,Tilawah,3,AalEImran recitation by Farres Abbad
004 AnNisa.mp3,004 AnNisa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,4,AnNisa recitation by Farres Abbad
005 AlMaidah.mp3,005 AlMaidah,Tilawah-Farres Abbad,Farres Abbad,Tilawah,5,AlMaidah recitation by Farres Abbad
006 AlAnaam.mp3,006 AlAnaam,Tilawah-Farres Abbad,Farres Abbad,Tilawah,6,AlAnaam recitation by Farres Abbad
007 AlAraf.mp3,007 AlAraf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,7,AlAraf recitation by Farres Abbad
008 AlAnfal.mp3,008 AlAnfal,Tilawah-Farres Abbad,Farres Abbad,Tilawah,8,AlAnfal recitation by Farres Abbad
009 AtTawba.mp3,009 AtTawba,Tilawah-Farres Abbad,Farres Abbad,Tilawah,9,AtTawba recitation by Farres Abbad
010 Yunus.mp3,010 Yunus,Tilawah-Farres Abbad,Farres Abbad,Tilawah,10,Yunus recitation by Farres Abbad
011 Hud.mp3,011 Hud,Tilawah-Farres Abbad,Farres Abbad,Tilawah,11,Hud recitation by Farres Abbad
012 Yusuf.mp3,012 Yusuf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,12,Yusuf recitation by Farres Abbad
013 ArRad.mp3,013 ArRad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,13,ArRad recitation by Farres Abbad
014 Ibrahim.mp3,014 Ibrahim,Tilawah-Farres Abbad,Farres Abbad,Tilawah,14,Ibrahim recitation by Farres Abbad
015 AlHijr.mp3,015 AlHijr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,15,AlHijr recitation by Farres Abbad
016 AnNahl.mp3,016 AnNahl,Tilawah-Farres Abbad,Farres Abbad,Tilawah,16,AnNahl recitation by Farres Abbad
017 AlIsra.mp3,017 AlIsra,Tilawah-Farres Abbad,Farres Abbad,Tilawah,17,AlIsra recitation by Farres Abbad
018 AlKahf.mp3,018 AlKahf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,18,AlKahf recitation by Farres Abbad
019 Maryam.mp3,019 Maryam,Tilawah-Farres Abbad,Farres Abbad,Tilawah,19,Maryam recitation by Farres Abbad
020 TaHa.mp3,020 TaHa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,20,TaHa recitation by Farres Abbad
021 AlAnbiya.mp3,021 AlAnbiya,Tilawah-Farres Abbad,Farres Abbad,Tilawah,21,AlAnbiya recitation by Farres Abbad
022 AlHajj.mp3,022 AlHajj,Tilawah-Farres Abbad,Farres Abbad,Tilawah,22,AlHajj recitation by Farres Abbad
023 AlMumenoon.mp3,023 AlMumenoon,Tilawah-Farres Abbad,Farres Abbad,Tilawah,23,AlMumenoon recitation by Farres Abbad
024 AnNoor.mp3,024 AnNoor,Tilawah-Farres Abbad,Farres Abbad,Tilawah,24,AnNoor recitation by Farres Abbad
025 AlFurqan.mp3,025 AlFurqan,Tilawah-Farres Abbad,Farres Abbad,Tilawah,25,AlFurqan recitation by Farres Abbad
