filename,title,album,artist,genre,tracknumber,comment
001 AlFatiha.mp3,001 AlFatiha,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,001,AlFatiha recitation by  Hani ArRifai
002 AlBaqara.mp3,002 AlBaqara,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,002,AlBaqara recitation by  Hani ArRifai
003 AalEImran.mp3,003 AalEImran,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,003,AalEImran recitation by  Hani ArRifai
004 AnNisa.mp3,004 AnNisa,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,004,AnNisa recitation by  Hani ArRifai
005 AlMaidah.mp3,005 AlMaidah,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,005,AlMaidah recitation by  Hani ArRifai
006 AlAnaam.mp3,006 AlAnaam,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,006,AlAnaam recitation by  Hani ArRifai
007 AlAraf.mp3,007 AlAraf,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,007,AlAraf recitation by  Hani ArRifai
008 AlAnfal.mp3,008 AlAnfal,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,008,AlAnfal recitation by  Hani ArRifai
009 AtTawba.mp3,009 AtTawba,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,009,AtTawba recitation by  Hani ArRifai
010 Yunus.mp3,010 Yunus,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,010,Yunus recitation by  Hani ArRifai
011 Hud.mp3,011 Hud,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,011,Hud recitation by  Hani ArRifai
012 Yusuf.mp3,012 Yusuf,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,012,Yusuf recitation by  Hani ArRifai
013 ArRad.mp3,013 ArRad,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,013,ArRad recitation by  Hani ArRifai
014 Ibrahim.mp3,014 Ibrahim,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,014,Ibrahim recitation by  Hani ArRifai
015 AlHijr.mp3,015 AlHijr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,015,AlHijr recitation by  Hani ArRifai
016 AnNahl.mp3,016 AnNahl,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,016,AnNahl recitation by  Hani ArRifai
017 AlIsra.mp3,017 AlIsra,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,017,AlIsra recitation by  Hani ArRifai
018 AlKahf.mp3,018 AlKahf,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,018,AlKahf recitation by  Hani ArRifai
019 Maryam.mp3,019 Maryam,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,019,Maryam recitation by  Hani ArRifai
020 TaHa.mp3,020 TaHa,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,020,TaHa recitation by  Hani ArRifai
021 AlAnbiya.mp3,021 AlAnbiya,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,021,AlAnbiya recitation by  Hani ArRifai
022 AlHajj.mp3,022 AlHajj,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,022,AlHajj recitation by  Hani ArRifai
023 AlMumenoon.mp3,023 AlMumenoon,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,023,AlMumenoon recitation by  Hani ArRifai
024 AnNoor.mp3,024 AnNoor,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,024,AnNoor recitation by  Hani ArRifai
025 AlFurqan.mp3,025 AlFurqan,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,025,AlFurqan recitation by  Hani ArRifai
026 AshShuara.mp3,026 AshShuara,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,026,AshShuara recitation by  Hani ArRifai
027 AnNaml.mp3,027 AnNaml,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,027,AnNaml recitation by  Hani ArRifai
028 AlQasas.mp3,028 AlQasas,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,028,AlQasas recitation by  Hani ArRifai
029 AlAnkaboot.mp3,029 AlAnkaboot,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,029,AlAnkaboot recitation by  Hani ArRifai
